id,title
C3N.01799,126
C3N.01799.N,127N
C3L.01890,127C
C3L.01890.N,128N
C3N.00572,128C
C3N.00572.N,129N
C3N.02423,129C
C3N.02423.N,130N
Tumor.Only.IR,130C
C3N.02729,126
C3N.02729.N,127N
C3L.00263,127C
C3L.00263.N,128N
C3N.01410,128C
C3N.01410.N,129N
C3N.00578,129C
C3N.00578.N,130N
Normal.Only.IR,130C
C3N.02587,126
C3N.02587.N,127N
C3L.00893,127C
C3L.00893.N,128N
C3N.01488,128C
C3N.01488.N,129N
C3N.01413,129C
C3N.01413.N,130N
Tumor.Only.IR.1,130C
C3N.01030,126
C3N.01030.N,127N
C3N.02588,127C
C3N.02588.N,128N
C3N.00552,128C
C3N.00552.N,129N
C3L.01889,129C
C3L.01889.N,130N
Normal.Only.IR.1,130C
C3N.00169,126
C3N.00169.N,127N
C3L.00422,127C
C3L.00422.N,128N
C3L.00083,128C
C3L.00083.N,129N
C3N.00551,129C
C3N.00551.N,130N
C3N.01842,130C
C3N.02089,126
C3N.02089.N,127N
C3L.01682,127C
C3L.01682.N,128N
C3N.01016,128C
C3N.01016.N,129N
C3N.00580,129C
C3N.00580.N,130N
X11LU013,130C
C3N.02000,126
C3N.02000.N,127N
C3N.01489,127C
C3N.01489.N,128N
C3N.00737,128C
C3N.00737.N,129N
C3N.01405,129C
C3N.01405.N,130N
C3N.02587.1,130C
C3N.01416,126
C3N.01416.N,127N
C3N.02149,127C
C3N.02149.N,128N
C3N.02424,128C
C3N.02424.N,129N
C3L.00279,129C
C3L.00279.N,130N
C3N.02379,130C
C3L.00095,126
C3L.00095.N,127N
C3N.02572,127C
C3N.02572.N,128N
C3N.00559,128C
C3N.00559.N,129N
C3N.00545,129C
C3N.00545.N,130N
X11LU016,130C
C3L.02345,126
C3L.02345.N,127N
C3L.00093,127C
C3L.00093.N,128N
C3L.00510,128C
C3L.00510.N,129N
C3L.00913,129C
C3L.00913.N,130N
X11LU022,130C
C3L.00412,126
C3L.00412.N,127N
C3N.01415,127C
C3N.01415.N,128N
C3N.00549,128C
C3N.00549.N,129N
C3N.02433,129C
C3N.02433.N,130N
Normal.Only.IR.2,130C
C3N.01021,126
C3N.01021.N,127N
C3N.00203,127C
C3N.00203.N,128N
C3L.01330,128C
C3L.01330.N,129N
C3N.00574,129C
C3N.00574.N,130N
X11LU035,130C
C3N.01071,126
C3N.01071.N,127N
C3N.00550,127C
C3N.00550.N,128N
C3N.00167,128C
C3N.00167.N,129N
C3L.00001,129C
C3L.00001.N,130N
C3N.01074,130C
C3L.01632,126
C3L.01632.N,127N
C3N.02155,127C
C3N.02155.N,128N
C3N.00217,128C
C3N.00217.N,129N
C3N.02002,129C
C3N.02002.N,130N
Tumor.Only.IR.2,130C
C3N.02145,126
C3N.02145.N,127N
C3N.02586,127C
C3N.02586.N,128N
C3L.02219,128C
C3L.02219.N,129N
C3N.00180,129C
C3N.00180.N,130N
C3L.01862,130C
C3N.00704,126
C3N.00704.N,127N
C3N.02158,127C
C3N.02158.N,128N
C3N.02421,128C
C3N.02421.N,129N
C3N.00556,129C
C3N.00556.N,130N
C3N.00294,130C
C3N.01072,126
C3N.01072.N,127N
C3L.00094,127C
C3L.00094.N,128N
C3L.00144,128C
C3L.00144.N,129N
C3N.00223,129C
C3N.00223.N,130N
C3N.02380,130C
C3L.01924,126
C3L.01924.N,127N
C3N.00433,127C
C3N.00433.N,128N
C3L.01683,128C
C3L.01683.N,129N
C3N.00293,129C
C3N.00293.N,130N
C3N.02380.N,130C
C3L.00009,126
C3L.00009.N,127N
C3N.00546,127C
C3N.00546.N,128N
C3N.01414,128C
C3N.01414.N,129N
C3N.02087,129C
C3N.02087.N,130N
Taiwanese.IR,130C
C3L.00140,126
C3L.00140.N,127N
C3N.02529,127C
C3N.02529.N,128N
C3L.00368,128C
C3L.00368.N,129N
C3N.02067,129C
C3N.02067.N,130N
C3N.02422,130C
C3L.00080,126
C3L.00080.N,127N
C3N.00547,127C
C3N.00547.N,128N
C3N.01023,128C
C3N.01023.N,129N
C3N.01024,129C
C3N.01024.N,130N
Tumor.Only.IR.3,130C
C3L.00973,126
C3L.00973.N,127N
C3L.02348,127C
C3L.02348.N,128N
C3L.02508,128C
C3L.02508.N,129N
C3N.00560,129C
C3N.00560.N,130N
Taiwanese.IR.1,130C
C3L.00604,126
C3L.00604.N,127N
C3N.00199,127C
C3N.00199.N,128N
C3N.00579,128C
C3N.00579.N,129N
C3N.02582,129C
C3N.02582.N,130N
C3N.02379.1,130C
C3L.02350,126
C3L.02350.N,127N
C3N.00738,127C
C3N.00738.N,128N
C3N.00959,128C
C3N.00959.N,129N
C3N.02003,129C
C3N.02003.N,130N
C3N.02379.N,130C
C3N.00175,126
C3N.00175.N,127N
C3N.01823,127C
C3N.01823.N,128N
C3L.02549,128C
C3L.02549.N,129N
C3L.02365,129C
C3L.02365.N,130N
Normal.Only.IR.3,130C
