id,title
C3L-00006,5
C3L-00008,16
C3L-00032,2
C3L-00084,11
C3L-00090,12
C3L-00098,14
C3L-00136,16
C3L-00137,15
C3L-00139,11
C3L-00143,14
C3L-00145,9
C3L-00156,15
C3L-00157,13
C3L-00161,13
C3L-00356,11
C3L-00358,3
C3L-00361,2
C3L-00362,5
C3L-00413,13
C3L-00449,5
C3L-00563,11
C3L-00586,6
C3L-00601,6
C3L-00605,12
C3L-00767,12
C3L-00769,5
C3L-00770,9
C3L-00771,11
C3L-00780,7
C3L-00781,16
C3L-00905,10
C3L-00918,7
C3L-00921,15
C3L-00932,8
C3L-00938,15
C3L-00942,3
C3L-00946,4
C3L-00947,1
C3L-00949,2
C3L-00961,8
C3L-00963,8
C3L-01246,7
C3L-01247,10
C3L-01248,1
C3L-01249,2
C3L-01252,1
C3L-01253,10
C3L-01256,3
C3L-01257,7
C3L-01275,9
C3L-01282,4
C3L-01284,11
C3L-01304,4
C3L-01307,4
C3L-01311,3
C3L-01312,5
C3L-01744,3
C3L-01925,15
C3N-00151,16
C3N-00200,9
C3N-00321,10
C3N-00322,4
C3N-00323,7
C3N-00324,11
C3N-00326,8
C3N-00328,12
C3N-00333,5
C3N-00334,14
C3N-00335,8
C3N-00337,4
C3N-00339,6
C3N-00340,10
C3N-00377,14
C3N-00379,9
C3N-00383,2
C3N-00386,9
C3N-00388,13
C3N-00389,3
C3N-00729,6
C3N-00734,1
C3N-00743,12
C3N-00836,6
C3N-00847,16
C3N-00848,15
C3N-00850,1
C3N-00858,1
C3N-00866,8
C3N-00880,12
C3N-01001,2
C3N-01003,9
C3N-01211,10
C3N-01212,6
C3N-01217,7
C3N-01219,12
C3N-01267,10
C3N-01346,13
C3N-01349,14
C3N-01510,14
C3N-01520,12
C3N-01521,14
C3N-01537,13
C3N-01802,16
C3N-01825,10
C3N-01825_replication,16
C3L-00006,5
C3L-00361,2
C3L-00586,6
C3L-00601,6
C3L-00769,5
C3L-00930,7
C3L-00932,8
C3L-00947,1
C3L-00963,8
C3L-01246,7
C3L-01249,2
C3L-01252,1
C3L-01256,3
C3L-01257,7
C3L-01282,4
C3L-01304,4
C3L-01307,4
C3L-01311,3
C3L-01744,3
C3N-00333,5
C3N-00383,2
C3N-00729,6
C3N-00858,1
C3N-00866,8
C3N-01346,13
C3L-00563,11
C3L-00605,12
C3L-00770,9
C3L-00771,11
C3N-00200,9
C3N-01211,10
NX1,13
NX2,13
NX3,14
NX4,14
NX5,15
NX6,15
NX7,15
NX8,16
NX9,16
NX10,17
NX11,17
NX12,17
NX13,17
NX14,17
NX15,17
NX16,17
NX17,17
NX18,17
