id,title
C3L.00081.N,0.3206
C3L.00081,0.0061
C3L.00415.N,0.2626
C3L.00415,0.0028
C3L.00445.N,0.2508
C3L.00445,0.0556
C3L.00568.N,0.3407
C3L.00568,0.0844
C3L.00603.N,0.4088
C3L.00603,0.0149
C3L.00904.N,0.403
C3L.00904,0.08
C3L.00923.N,0.3857
C3L.00923,0.1476
C3L.00927.N,0.2815
C3L.00927,0.0116
C3L.00965,0.0586
C3L.00993.N,0.3304
C3L.00993,0.0012
C3L.01000.N,0.3076
C3L.01000,0.1331
C3L.01285.N,0.3244
C3L.01285,0.0506
C3L.01455.N,0.381
C3L.01455,0.1274
C3L.01606.N,0.428
C3L.01606,0.0656
C3L.01663.N,0.2872
C3L.01663,0.0902
C3L.01838,0.125
C3L.01884.N,0.4134
C3L.01884,0.027
C3L.02127.N,0.3762
C3L.02127,0.0076
C3L.02130.N,0.3858
C3L.02130,0.1444
C3L.02163.N,0.3279
C3L.02163,0.0162
C3L.02164.N,0.273
C3L.02164,0.2285
C3L.02168.N,0.3711
C3L.02168,0.058
C3L.02170,0.1917
C3L.02349.N,0.3438
C3L.02349,0.0594
C3L.02358.N,0.383
C3L.02358,0.0548
C3L.02546.N,0.3882
C3L.02546,0.1247
C3L.02552.N,0.3322
C3L.02552,0.2269
C3L.02619.N,0.3104
C3L.02619,0.0561
C3L.02625.N,0.3562
C3L.02625,0.0305
C3L.02627.N,0.3384
C3L.02627,0.0235
C3L.02629.N,0.3654
C3L.02629,0.198
C3L.02646.N,
C3L.02646,0.0348
C3L.02648.N,0.3981
C3L.02648,0.0328
C3L.02649.N,0.3568
C3L.02649,0.041
C3L.02650.N,0.2286
C3L.02650,0.0824
C3L.02660.N,0.3972
C3L.02660,0.2022
C3L.02665.N,0.2235
C3L.02665,0.0256
C3L.02669.N,0.2622
C3L.02669,0.061
C3L.02891.N,0.375
C3L.02891,0.1022
C3L.02951.N,0.3223
C3L.02951,0.0946
C3L.02963.N,0.3905
C3L.02963,0.1601
C3L.02964.N,0.198
C3L.02964,0.0444
C3L.02968.N,0.3692
C3L.02968,0.0654
C3L.02969.N,0.3743
C3L.02969,0.0478
C3L.03272.N,0.3682
C3L.03272,0.0044
C3L.03678,0.0326
C3L.03961.N,0.3487
C3L.03961,0.1278
C3L.03962.N,0.3376
C3L.03962,0.0096
C3L.03963.N,0.2784
C3L.03963,0.0957
C3L.03965.N,0.3784
C3L.03965,0.0718
C3L.04013.N,0.311
C3L.04013,0.0
C3L.04014.N,0.3398
C3L.04014,0.0445
C3L.04071.N,0.3176
C3L.04071,0.0881
C3L.04391.N,0.4095
C3L.04391,0.061
C3N.00211,0.0799
C3N.00221.N,0.4476
C3N.00221,0.0197
C3N.00247,0.1096
C3N.00497.N,0.3544
C3N.00497,0.1415
C3N.00555.N,0.2116
C3N.00555,0.0079
C3N.01017.N,0.2492
C3N.01017,0.0344
C3N.01020.N,0.2862
C3N.01020,0.0811
C3N.01025.N,0.3925
C3N.01025,0.0092
C3N.01028.N,0.3314
C3N.01028,0.0375
C3N.01194.N,0.3268
C3N.01194,0.0536
C3N.01411.N,0.3292
C3N.01411,0.0455
C3N.01846.N,0.362
C3N.01846,0.0754
C3N.01892.N,0.3178
C3N.01892,0.0901
C3N.01893.N,0.424
C3N.01893,0.0662
C3N.02252.N,0.3383
C3N.02252,0.1269
C3N.02283,0.0134
C3N.02284,0.02
C3N.02285.N,0.383
C3N.02285,0.065
C3N.02288.N,0.2419
C3N.02288,0.0342
C3N.02289.N,0.439
C3N.02289,0.1676
C3N.02300,0.0724
C3N.02339.N,0.3743
C3N.02339,0.1504
C3N.02374.N,0.3572
C3N.02374,0.0258
C3N.02375.N,0.4012
C3N.02375,0.0117
C3N.02425.N,0.2898
C3N.02425,0.0179
C3N.02426.N,0.3702
C3N.02426,0.1124
C3N.02434.N,0.3703
C3N.02434,0.0126
C3N.02435.N,0.4018
C3N.02435,0.052
C3N.02494.N,0.2856
C3N.02494,0.0698
C3N.02523.N,0.3086
C3N.02523,0.0256
C3N.02575.N,0.3647
C3N.02575,0.0342
C3N.02675.N,0.4148
C3N.02675,0.1084
C3N.03051.N,0.348
C3N.03051,0.0134
C3N.03072.N,
C3N.03072,0.011
C3N.03076.N,0.2906
C3N.03076,0.0747
C3N.03092.N,0.3116
C3N.03092,0.0458
C3N.03093.N,0.3252
C3N.03093,0.06
C3N.03204.N,0.2667
C3N.03204,0.0212
C3N.03424.N,0.2905
C3N.03424,0.1578
C3N.03425.N,0.2892
C3N.03425,0.0074
C3N.03441.N,0.2947
C3N.03441,0.0904
C3N.03486.N,0.2438
C3N.03486,0.0214
C3N.03662.N,
C3N.03662,0.0507
C3N.03848.N,0.4042
C3N.03848,0.1226
C3N.03851.N,0.322
C3N.03851,0.0649
C3N.03875.N,0.408
C3N.03875,0.0136
C3N.03877.N,0.3173
C3N.03877,0.0418
C3N.03880.N,0.4638
C3N.03880,0.004
C3N.03882.N,0.3792
C3N.03882,0.0018
C3N.03886.N,
C3N.03886,0.0074
C3N.04124.N,0.2444
C3N.04124,0.0457
C3N.04127.N,0.3478
C3N.04127,0.057
C3N.04155.N,
C3N.04155,0.0042
C3N.04162.N,0.1941
C3N.04162,0.0048
