id,title
C3L.00081.N,
C3L.00081,0.663
C3L.00415.N,
C3L.00415,0.759
C3L.00445.N,
C3L.00445,0.682
C3L.00568.N,
C3L.00568,0.457
C3L.00603.N,
C3L.00603,0.867
C3L.00904.N,
C3L.00904,0.466
C3L.00923.N,
C3L.00923,0.656
C3L.00927.N,
C3L.00927,0.429
C3L.00965,0.746
C3L.00993.N,
C3L.00993,0.416
C3L.01000.N,
C3L.01000,0.659
C3L.01285.N,
C3L.01285,0.673
C3L.01455.N,
C3L.01455,0.584
C3L.01606.N,
C3L.01606,0.663
C3L.01663.N,
C3L.01663,0.719
C3L.01838,0.761
C3L.01884.N,
C3L.01884,0.851
C3L.02127.N,
C3L.02127,0.736
C3L.02130.N,
C3L.02130,0.504
C3L.02163.N,
C3L.02163,0.925
C3L.02164.N,
C3L.02164,0.574
C3L.02168.N,
C3L.02168,0.657
C3L.02170,0.521
C3L.02349.N,
C3L.02349,0.572
C3L.02358.N,
C3L.02358,0.585
C3L.02546.N,
C3L.02546,0.781
C3L.02552.N,
C3L.02552,0.932
C3L.02619.N,
C3L.02619,0.695
C3L.02625.N,
C3L.02625,0.409
C3L.02627.N,
C3L.02627,0.956
C3L.02629.N,
C3L.02629,0.556
C3L.02646.N,
C3L.02646,0.45
C3L.02648.N,
C3L.02648,0.461
C3L.02649.N,
C3L.02649,0.761
C3L.02650.N,
C3L.02650,0.514
C3L.02660.N,
C3L.02660,0.519
C3L.02665.N,
C3L.02665,0.372
C3L.02669.N,
C3L.02669,0.448
C3L.02891.N,
C3L.02891,0.578
C3L.02951.N,
C3L.02951,0.524
C3L.02963.N,
C3L.02963,0.529
C3L.02964.N,
C3L.02964,0.711
C3L.02968.N,
C3L.02968,0.468
C3L.02969.N,
C3L.02969,0.617
C3L.03272.N,
C3L.03272,0.667
C3L.03678,0.444
C3L.03961.N,
C3L.03961,0.972
C3L.03962.N,
C3L.03962,0.485
C3L.03963.N,
C3L.03963,0.571
C3L.03965.N,
C3L.03965,0.498
C3L.04013.N,
C3L.04013,1.0
C3L.04014.N,
C3L.04014,0.376
C3L.04071.N,
C3L.04071,0.578
C3L.04391.N,
C3L.04391,0.751
C3N.00211,0.569
C3N.00221.N,
C3N.00221,0.974
C3N.00247,0.992
C3N.00497.N,
C3N.00497,0.635
C3N.00555.N,
C3N.00555,0.521
C3N.01017.N,
C3N.01017,0.939
C3N.01020.N,
C3N.01020,0.473
C3N.01025.N,
C3N.01025,0.851
C3N.01028.N,
C3N.01028,0.462
C3N.01194.N,
C3N.01194,0.421
C3N.01411.N,
C3N.01411,0.53
C3N.01846.N,
C3N.01846,0.407
C3N.01892.N,
C3N.01892,0.43
C3N.01893.N,
C3N.01893,0.47
C3N.02252.N,
C3N.02252,0.732
C3N.02283,1.0
C3N.02284,0.527
C3N.02285.N,
C3N.02285,0.704
C3N.02288.N,
C3N.02288,0.667
C3N.02289.N,
C3N.02289,0.741
C3N.02300,0.51
C3N.02339.N,
C3N.02339,0.861
C3N.02374.N,
C3N.02374,0.733
C3N.02375.N,
C3N.02375,0.795
C3N.02425.N,
C3N.02425,0.584
C3N.02426.N,
C3N.02426,0.865
C3N.02434.N,
C3N.02434,0.907
C3N.02435.N,
C3N.02435,0.529
C3N.02494.N,
C3N.02494,0.566
C3N.02523.N,
C3N.02523,0.401
C3N.02575.N,
C3N.02575,0.638
C3N.02675.N,
C3N.02675,0.718
C3N.03051.N,
C3N.03051,0.965
C3N.03072.N,
C3N.03072,0.716
C3N.03076.N,
C3N.03076,0.708
C3N.03092.N,
C3N.03092,0.71
C3N.03093.N,
C3N.03093,0.599
C3N.03204.N,
C3N.03204,0.422
C3N.03424.N,
C3N.03424,0.641
C3N.03425.N,
C3N.03425,0.759
C3N.03441.N,
C3N.03441,0.494
C3N.03486.N,
C3N.03486,0.45
C3N.03662.N,
C3N.03662,0.638
C3N.03848.N,
C3N.03848,0.682
C3N.03851.N,
C3N.03851,0.929
C3N.03875.N,
C3N.03875,0.621
C3N.03877.N,
C3N.03877,0.525
C3N.03880.N,
C3N.03880,0.638
C3N.03882.N,
C3N.03882,0.39
C3N.03886.N,
C3N.03886,1.0
C3N.04124.N,
C3N.04124,0.582
C3N.04127.N,
C3N.04127,0.445
C3N.04155.N,
C3N.04155,0.911
C3N.04162.N,
C3N.04162,0.786
