id,title
C3L.00081.N,
C3L.00081,0.0
C3L.00415.N,
C3L.00415,2.0
C3L.00445.N,
C3L.00445,0.0
C3L.00568.N,
C3L.00568,0.0
C3L.00603.N,
C3L.00603,0.0
C3L.00904.N,
C3L.00904,0.0
C3L.00923.N,
C3L.00923,0.0
C3L.00927.N,
C3L.00927,0.0
C3L.00965,2.0
C3L.00993.N,
C3L.00993,2.0
C3L.01000.N,
C3L.01000,0.0
C3L.01285.N,
C3L.01285,2.0
C3L.01455.N,
C3L.01455,0.0
C3L.01606.N,
C3L.01606,2.0
C3L.01663.N,
C3L.01663,0.0
C3L.01838,0.0
C3L.01884.N,
C3L.01884,0.0
C3L.02127.N,
C3L.02127,0.0
C3L.02130.N,
C3L.02130,0.0
C3L.02163.N,
C3L.02163,0.0
C3L.02164.N,
C3L.02164,0.0
C3L.02168.N,
C3L.02168,0.0
C3L.02170,0.0
C3L.02349.N,
C3L.02349,0.0
C3L.02358.N,
C3L.02358,2.0
C3L.02546.N,
C3L.02546,0.0
C3L.02552.N,
C3L.02552,0.0
C3L.02619.N,
C3L.02619,0.0
C3L.02625.N,
C3L.02625,0.0
C3L.02627.N,
C3L.02627,0.0
C3L.02629.N,
C3L.02629,0.0
C3L.02646.N,
C3L.02646,0.0
C3L.02648.N,
C3L.02648,0.0
C3L.02649.N,
C3L.02649,0.0
C3L.02650.N,
C3L.02650,0.0
C3L.02660.N,
C3L.02660,0.0
C3L.02665.N,
C3L.02665,0.0
C3L.02669.N,
C3L.02669,0.0
C3L.02891.N,
C3L.02891,0.0
C3L.02951.N,
C3L.02951,0.0
C3L.02963.N,
C3L.02963,0.0
C3L.02964.N,
C3L.02964,0.0
C3L.02968.N,
C3L.02968,0.0
C3L.02969.N,
C3L.02969,0.0
C3L.03272.N,
C3L.03272,0.0
C3L.03678,2.0
C3L.03961.N,
C3L.03961,0.0
C3L.03962.N,
C3L.03962,0.0
C3L.03963.N,
C3L.03963,0.0
C3L.03965.N,
C3L.03965,0.0
C3L.04013.N,
C3L.04013,0.0
C3L.04014.N,
C3L.04014,0.0
C3L.04071.N,
C3L.04071,0.0
C3L.04391.N,
C3L.04391,0.0
C3N.00211,0.0
C3N.00221.N,
C3N.00221,0.0
C3N.00247,0.0
C3N.00497.N,
C3N.00497,0.0
C3N.00555.N,
C3N.00555,2.0
C3N.01017.N,
C3N.01017,0.0
C3N.01020.N,
C3N.01020,2.0
C3N.01025.N,
C3N.01025,0.0
C3N.01028.N,
C3N.01028,0.0
C3N.01194.N,
C3N.01194,2.0
C3N.01411.N,
C3N.01411,0.0
C3N.01846.N,
C3N.01846,0.0
C3N.01892.N,
C3N.01892,0.0
C3N.01893.N,
C3N.01893,0.0
C3N.02252.N,
C3N.02252,0.0
C3N.02283,0.0
C3N.02284,0.0
C3N.02285.N,
C3N.02285,0.0
C3N.02288.N,
C3N.02288,0.0
C3N.02289.N,
C3N.02289,0.0
C3N.02300,0.0
C3N.02339.N,
C3N.02339,0.0
C3N.02374.N,
C3N.02374,0.0
C3N.02375.N,
C3N.02375,0.0
C3N.02425.N,
C3N.02425,0.0
C3N.02426.N,
C3N.02426,0.0
C3N.02434.N,
C3N.02434,0.0
C3N.02435.N,
C3N.02435,0.0
C3N.02494.N,
C3N.02494,0.0
C3N.02523.N,
C3N.02523,0.0
C3N.02575.N,
C3N.02575,0.0
C3N.02675.N,
C3N.02675,0.0
C3N.03051.N,
C3N.03051,0.0
C3N.03072.N,
C3N.03072,0.0
C3N.03076.N,
C3N.03076,2.0
C3N.03092.N,
C3N.03092,0.0
C3N.03093.N,
C3N.03093,2.0
C3N.03204.N,
C3N.03204,0.0
C3N.03424.N,
C3N.03424,0.0
C3N.03425.N,
C3N.03425,0.0
C3N.03441.N,
C3N.03441,2.0
C3N.03486.N,
C3N.03486,0.0
C3N.03662.N,
C3N.03662,0.0
C3N.03848.N,
C3N.03848,0.0
C3N.03851.N,
C3N.03851,0.0
C3N.03875.N,
C3N.03875,0.0
C3N.03877.N,
C3N.03877,0.0
C3N.03880.N,
C3N.03880,0.0
C3N.03882.N,
C3N.03882,2.0
C3N.03886.N,
C3N.03886,0.0
C3N.04124.N,
C3N.04124,0.0
C3N.04127.N,
C3N.04127,2.0
C3N.04155.N,
C3N.04155,0.0
C3N.04162.N,
C3N.04162,2.0
